ID,エリア,店名,カテゴリ,評価,口コミ数,予算,ステータス
SP-0021,浅草,フルーツパーラーゴトー,スイーツ,4.3,800,¥1000〜¥2000,準備中
SP-0022,浅草,ペリカンカフェ,カフェ,4.2,450,¥1000〜¥2000,準備中
SP-0023,浅草,つくし,とんかつ,4.5,200,¥1000〜¥2000,準備中
SP-0024,浅草,浅草メンチ,食べ歩き,4.0,1200,〜¥500,準備中
SP-0025,浅草,珈琲天国,カフェ,4.3,500,〜¥1000,準備中
SP-0031,下北沢,CITY COUNTRY CITY,カフェ,4.4,300,¥1000〜¥2000,準備中
SP-0032,下北沢,BONUS TRACK,カフェ,4.3,250,〜¥1000,準備中
SP-0033,下北沢,ミカヅキカリー,カレー,4.2,350,¥1000〜¥2000,準備中
SP-0034,下北沢,buns of cinnamon,スイーツ,4.5,150,〜¥1000,準備中
SP-0035,下北沢,FLAMINGO,古着,4.3,200,¥1000〜¥5000,準備中
SP-0041,中目黒,ONIBUS COFFEE,カフェ,4.4,600,〜¥1000,準備中
SP-0042,中目黒,トラヴォリーノ,イタリアン,4.3,400,¥2000〜¥3000,準備中
SP-0043,中目黒,SIDEWALK STAND,カフェ,4.2,250,〜¥1000,準備中
SP-0044,中目黒,焼肉チャンピオン,焼肉,4.4,350,¥3000〜¥5000,準備中
SP-0045,中目黒,PEANUTS Cafe,カフェ,4.2,500,¥1000〜¥2000,準備中
SP-0051,横浜,MARINE & WALK YOKOHAMA,ショッピング,4.2,800,¥1000〜¥3000,準備中
SP-0052,横浜,Bills 赤レンガ倉庫,カフェ,4.1,700,¥2000〜¥3000,準備中
SP-0053,横浜,象の鼻テラス,カフェ,4.0,300,〜¥1000,準備中
SP-0054,横浜,スタバ 横浜ベイクォーター,カフェ,4.3,400,〜¥1000,準備中
SP-0055,横浜,萬珍樓,中華,4.2,900,¥3000〜¥5000,準備中
SP-0061,吉祥寺,LIGHT UP COFFEE,カフェ,4.5,350,〜¥1000,準備中
SP-0062,吉祥寺,ハモニカキッチン,カフェ,4.2,280,¥1000〜¥2000,準備中
SP-0063,吉祥寺,小ざさ,スイーツ,4.6,500,〜¥500,準備中
SP-0064,吉祥寺,いせや 公園店,居酒屋,4.0,600,〜¥1000,準備中
SP-0065,吉祥寺,MARGARET HOWELL CAFE,カフェ,4.3,200,¥1000〜¥2000,準備中
